date,t,cp_location,cp_location_norm,cp_score
2006-03-29,126,,,
2006-03-30,127,,,
2006-03-31,128,,,
2006-04-03,129,,,
2006-04-04,130,,,
2006-04-05,131,,,
2006-04-06,132,,,
2006-04-07,133,,,
2006-04-10,134,,,
2006-04-11,135,,,
2006-04-12,136,,,
2006-04-13,137,,,
2006-04-17,138,,,
2006-04-18,139,,,
2006-04-19,140,,,
2006-04-20,141,,,
2006-04-21,142,,,
2006-04-24,143,,,
2006-04-25,144,,,
2006-04-26,145,,,
2006-04-27,146,,,
2006-04-28,147,,,
2006-05-01,148,,,
2006-05-02,149,,,
2006-05-03,150,,,
2006-05-04,151,,,
2006-05-05,152,,,
2006-05-08,153,,,
2006-05-09,154,,,
2006-05-10,155,,,
2006-05-11,156,,,
2006-05-12,157,,,
2006-05-15,158,,,
2006-05-16,159,,,
2006-05-17,160,,,
2006-05-18,161,,,
2006-05-19,162,,,
2006-05-22,163,,,
2006-05-23,164,,,
2006-05-24,165,,,
2006-05-25,166,,,
2006-05-26,167,,,
2006-05-30,168,,,
2006-05-31,169,,,
2006-06-01,170,,,
2006-06-02,171,,,
2006-06-05,172,,,
2006-06-06,173,,,
2006-06-07,174,,,
2006-06-08,175,,,
2006-06-09,176,,,
2006-06-12,177,,,
2006-06-13,178,,,
2006-06-14,179,,,
2006-06-15,180,,,
2006-06-16,181,,,
2006-06-19,182,,,
2006-06-20,183,,,
2006-06-21,184,,,
2006-06-22,185,,,
2006-06-23,186,,,
2006-06-26,187,,,
2006-06-27,188,,,
2006-06-28,189,,,
2006-06-29,190,,,
2006-06-30,191,,,
2006-07-03,192,,,
2006-07-05,193,,,
2006-07-06,194,,,
2006-07-07,195,,,
2006-07-10,196,,,
2006-07-11,197,,,
2006-07-12,198,,,
2006-07-13,199,,,
2006-07-14,200,,,
2006-07-17,201,,,
2006-07-18,202,,,
2006-07-19,203,,,
2006-07-20,204,,,
2006-07-21,205,,,
2006-07-24,206,,,
2006-07-25,207,,,
2006-07-26,208,,,
2006-07-27,209,,,
2006-07-28,210,,,
2006-07-31,211,,,
2006-08-01,212,,,
2006-08-02,213,,,
2006-08-03,214,,,
2006-08-04,215,,,
2006-08-07,216,,,
2006-08-08,217,,,
2006-08-09,218,,,
2006-08-10,219,,,
2006-08-11,220,,,
2006-08-14,221,,,
2006-08-15,222,,,
2006-08-16,223,,,
2006-08-17,224,,,
2006-08-18,225,,,
2006-08-21,226,,,
2006-08-22,227,,,
2006-08-23,228,,,
2006-08-24,229,,,
2006-08-25,230,,,
2006-08-28,231,,,
2006-08-29,232,,,
2006-08-30,233,,,
2006-08-31,234,,,
2006-09-01,235,,,
2006-09-05,236,,,
2006-09-06,237,,,
2006-09-07,238,,,
2006-09-08,239,,,
2006-09-11,240,,,
2006-09-12,241,,,
2006-09-13,242,,,
2006-09-14,243,,,
2006-09-15,244,,,
2006-09-18,245,,,
2006-09-19,246,,,
2006-09-20,247,,,
2006-09-21,248,,,
2006-09-22,249,,,
2006-09-25,250,,,
2006-09-26,251,,,
2006-09-27,252,,,
2006-09-28,253,,,
2006-09-29,254,,,
2006-10-02,255,,,
2006-10-03,256,,,
2006-10-04,257,,,
2006-10-05,258,,,
2006-10-06,259,,,
2006-10-09,260,,,
2006-10-10,261,,,
2006-10-11,262,,,
2006-10-12,263,,,
2006-10-13,264,,,
2006-10-16,265,,,
2006-10-17,266,,,
2006-10-18,267,,,
2006-10-19,268,,,
2006-10-20,269,,,
2006-10-23,270,,,
2006-10-24,271,,,
2006-10-25,272,,,
2006-10-26,273,,,
2006-10-27,274,,,
2006-10-30,275,,,
2006-10-31,276,,,
2006-11-01,277,,,
2006-11-02,278,,,
2006-11-03,279,,,
2006-11-06,280,,,
2006-11-07,281,,,
2006-11-08,282,,,
2006-11-09,283,,,
2006-11-10,284,,,
2006-11-13,285,,,
2006-11-14,286,,,
2006-11-15,287,,,
2006-11-16,288,,,
2006-11-17,289,,,
2006-11-20,290,,,
2006-11-21,291,,,
2006-11-22,292,,,
2006-11-24,293,,,
2006-11-27,294,,,
2006-11-28,295,,,
2006-11-29,296,,,
2006-11-30,297,,,
2006-12-01,298,,,
2006-12-04,299,,,
2006-12-05,300,,,
2006-12-06,301,,,
2006-12-07,302,,,
2006-12-08,303,,,
2006-12-11,304,,,
2006-12-12,305,,,
2006-12-13,306,,,
2006-12-14,307,,,
2006-12-15,308,,,
2006-12-18,309,,,
2006-12-19,310,,,
2006-12-20,311,,,
2006-12-21,312,,,
2006-12-22,313,,,
2006-12-26,314,,,
2006-12-27,315,,,
2006-12-28,316,,,
2006-12-29,317,,,
2007-01-03,318,,,
2007-01-04,319,,,
2007-01-05,320,,,
2007-01-08,321,,,
2007-01-09,322,,,
2007-01-10,323,,,
2007-01-11,324,,,
2007-01-12,325,,,
2007-01-16,326,,,
2007-01-17,327,,,
2007-01-18,328,,,
2007-01-19,329,,,
2007-01-22,330,,,
2007-01-23,331,,,
2007-01-24,332,,,
2007-01-25,333,,,
2007-01-26,334,,,
2007-01-29,335,,,
2007-01-30,336,,,
2007-01-31,337,,,
2007-02-01,338,,,
2007-02-02,339,,,
2007-02-05,340,,,
2007-02-06,341,,,
2007-02-07,342,,,
2007-02-08,343,,,
2007-02-09,344,,,
2007-02-12,345,,,
2007-02-13,346,,,
2007-02-14,347,,,
2007-02-15,348,,,
2007-02-16,349,,,
2007-02-20,350,,,
2007-02-21,351,,,
2007-02-22,352,,,
2007-02-23,353,,,
2007-02-26,354,,,
2007-02-27,355,,,
2007-02-28,356,,,
2007-03-01,357,,,
2007-03-02,358,,,
2007-03-05,359,,,
2007-03-06,360,,,
2007-03-07,361,,,
2007-03-08,362,,,
2007-03-09,363,,,
2007-03-12,364,,,
2007-03-13,365,,,
2007-03-14,366,,,
2007-03-15,367,,,
2007-03-16,368,,,
2007-03-19,369,,,
2007-03-20,370,,,
2007-03-21,371,,,
2007-03-22,372,,,
2007-03-23,373,,,
2007-03-26,374,,,
2007-03-27,375,,,
2007-03-28,376,,,
2007-03-29,377,,,
2007-03-30,378,,,
2007-04-02,379,,,
2007-04-03,380,,,
2007-04-04,381,,,
2007-04-05,382,,,
2007-04-09,383,,,
2007-04-10,384,,,
2007-04-11,385,,,
2007-04-12,386,,,
2007-04-13,387,,,
2007-04-16,388,,,
2007-04-17,389,,,
2007-04-18,390,,,
2007-04-19,391,,,
2007-04-20,392,,,
2007-04-23,393,,,
2007-04-24,394,,,
2007-04-25,395,,,
2007-04-26,396,,,
2007-04-27,397,,,
2007-04-30,398,,,
2007-05-01,399,,,
2007-05-02,400,,,
2007-05-03,401,,,
2007-05-04,402,,,
2007-05-07,403,,,
2007-05-08,404,,,
2007-05-09,405,,,
2007-05-10,406,,,
2007-05-11,407,,,
2007-05-14,408,,,
2007-05-15,409,,,
2007-05-16,410,,,
2007-05-17,411,,,
2007-05-18,412,,,
2007-05-21,413,,,
2007-05-22,414,,,
2007-05-23,415,,,
2007-05-24,416,,,
2007-05-25,417,,,
2007-05-29,418,,,
2007-05-30,419,,,
2007-05-31,420,,,
2007-06-01,421,,,
2007-06-04,422,,,
2007-06-05,423,,,
2007-06-06,424,,,
2007-06-07,425,,,
2007-06-08,426,,,
2007-06-11,427,,,
2007-06-12,428,,,
2007-06-13,429,,,
2007-06-14,430,,,
2007-06-15,431,,,
2007-06-18,432,,,
2007-06-19,433,,,
2007-06-20,434,,,
2007-06-21,435,,,
2007-06-22,436,,,
2007-06-25,437,,,
2007-06-26,438,,,
2007-06-27,439,,,
2007-06-28,440,,,
2007-06-29,441,,,
2007-07-02,442,,,
2007-07-03,443,,,
